Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts
2024-12-04,Speak Now (Taylor's Version),Taylor Swift,121,134,1,73
2024-12-04,Views,Drake,122,106,1,446
2024-12-04,The Classic Christmas Album,Elvis Presley,123,26,61,
2024-12-04,Thriller,Michael Jackson,124,124,1,654
2024-12-04,Journey's Greatest Hits,Journey,125,120,10,833
2024-12-04,Certified Lover Boy,Drake,126,100,1,169
2024-12-04,The Star Chapter: Sanctuary (EP),TOMORROW X TOGETHER,127,41,2,3
2024-12-04,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,128,122,5,863
2024-12-04,T R A P S O U L,Bryson Tiller,129,102,8,399
2024-12-04,Aghori Mhori Mei,The Smashing Pumpkins,130,130,1,
2024-12-04,Think Later,Tate McRae,131,91,4,51
2024-12-04,Doo-Wops & Hooligans,Bruno Mars,132,121,3,704
2024-12-04,$ad Boyz 4 Life II,Junior H,133,107,14,60
2024-12-04,A Great Chaos,Ken Carson,134,99,11,39
2024-12-04,Death Race For Love,Juice WRLD,135,183,1,273
2024-12-04,The Magic Hour Collection,Jhene Aiko,136,136,1,
2024-12-04,[Hybrid Theory],Linkin Park,137,103,2,350
2024-12-04,Heroes & Villains,Metro Boomin,138,109,1,104
2024-12-04,The Highlights,The Weeknd,139,189,2,193
2024-12-04,The Last Will And Testament,Opeth,140,140,1,
2024-12-04,If I Know Me,Morgan Wallen,141,130,10,322
2024-12-04,ANTI,Rihanna,142,125,1,448
2024-12-04,Nevermind,Nirvana,143,123,1,698
2024-12-04,Meteora,Linkin Park,144,115,1,171
2024-12-04,50 Number Ones,George Strait,145,145,1,312
2024-12-04,Don't Mind If I Do,Riley Green,146,141,25,6
2024-12-04,The First Time,The Kid LAROI,147,116,24,26
2024-12-04,After Hours,The Weeknd,148,127,1,168
2024-12-04,Freudian,Daniel Caesar,149,119,25,129
2024-12-04,Starting Over,Chris Stapleton,150,152,3,211
2024-12-04,What You See Is What You Get,Luke Combs,151,135,1,264
2024-12-04,2014 Forest Hills Drive,J. Cole,152,126,1,521
2024-12-04,MM..Food,MF Doom,153,18,18,3
2024-12-04,Greatest Christmas Songs,Perry Como,154,32,14,
2024-12-04,Over It,Summer Walker,155,146,2,269
2024-12-04,Greatest Hits,Pitbull,156,137,77,185
2024-12-04,Muse,Jimin,157,158,2,19
2024-12-04,Nostalgia,Rod Wave,158,136,1,63
2024-12-04,The Warm Up,J. Cole,159,159,1,
2024-12-04,Greatest Hits,Tom Petty And The Heartbreakers,160,148,2,594
2024-12-04,Mahashmashana,Father John Misty,161,161,1,
2024-12-04,Scorpion,Drake,162,138,1,335
2024-12-04,Beauty Behind The Madness,The Weeknd,163,142,1,328
2024-12-04,Moana,Soundtrack,164,184,2,397
2024-12-04,The Fame,Lady Gaga,165,144,2,393
2024-12-04,The Very Best Of Daryl Hall  John Oates,Daryl Hall  John Oates,166,151,34,271
2024-12-04,7220,Lil Durk,167,140,1,139
2024-12-04,35 Biggest Hits,Toby Keith,168,154,1,178
2024-12-04,Teenage Dream,Katy Perry,169,147,1,401
2024-12-04,Fearless (Taylor's Version),Taylor Swift,170,196,1,171
2024-12-04,PARTYNEXTDOOR 4 (P4),PARTYNEXTDOOR,171,153,10,31
2024-12-04,Ehhthang Ehhthang,GloRilla,172,157,18,34
2024-12-04,Bewitched,Laufey,173,169,18,40
2024-12-04,Waves On A Sunset,Tucker Wetmore,174,167,87,8
2024-12-04,Richey Rich,Real Boston Richey,175,118,48,3
2024-12-04,A Minute... (EP),Myles Smith,176,155,120,3
2024-12-04,Cigarettes After Sex,Cigarettes After Sex,177,149,112,68
2024-12-04,?,XXXTENTACION,178,174,1,345
2024-12-04,9 Lives,Koe Wetzel,179,171,15,18
2024-12-04,Gold: Greatest Hits,ABBA,180,178,25,354
2024-12-04,Confessions,Usher,181,170,1,235
2024-12-04,Restless Mind,Sam Barber,182,165,58,4
2024-12-04,Greatest Hits,Guns N' Roses,183,166,3,704
2024-12-04,Amar,BigXthaPlug,184,162,97,68
2024-12-04,Greatest Hits,Fleetwood Mac,185,200,14,318
2024-12-04,11:11,Chris Brown,186,181,9,54
2024-12-04,DS2,Future,187,176,1,294
2024-12-04,Tha Carter III,Lil Wayne,188,187,1,273
2024-12-04,20 Number Ones,Thomas Rhett,189,186,22,60
2024-12-04,Call Me If You Get Lost,Tyler| The Creator,190,173,1,130
2024-12-04,Manana Sera Bonito,Karol G,191,175,1,90
2024-12-04,Ultimate Sinatra,Frank Sinatra,192,32,154,
2024-12-04,My Beautiful Dark Twisted Fantasy,Kanye West,193,172,1,295
2024-12-04,Fighting Demons,Juice WRLD,194,2,73,
2024-12-04,Purgatory,Tyler Childers,195,71,221,
2024-12-04,Nadie Sabe Lo Que Va A Pasar Manana,Bad Bunny,196,182,1,59
2024-12-04,Whirlwind,Lainey Wilson,197,8,8,
2024-12-04,Greatest Hits,Aerosmith,198,192,36,66
2024-12-04,Sugar Honey Iced Tea,Latto,199,188,15,16
2024-12-04,Whitsitt Chapel,Jelly Roll,200,3,77,
