CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
40659101,LUCKY HOUSE CHINESE KITCHEN,Brooklyn,343345,LEWIS AVENUE,,7184432298,Chinese,02/09/2022,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,19,,,10/09/2024,Cycle Inspection / Initial Inspection,0,0,,,,,3,,
50005480,HUDSON MALONE,Manhattan,218,EAST   53 STREET,10022,2123556607,American,03/15/2023,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,15,,,10/09/2024,Cycle Inspection / Initial Inspection,40.757424939315,-73.968777131238,106,04,009800,1038548,1013260140,MN19,
50143857,KAHACHAPURI FACTORY,Brooklyn,1654A,EAST   15 STREET,11229,3472400003,Eastern European,06/04/2024,Violations were cited in the following area(s).,20-06,Current letter grade or Grade Pending card not posted,Not Critical,,,,10/09/2024,Administrative Miscellaneous / Compliance Inspection,40.609286178575,-73.958395013735,315,48,055400,3182412,3067770029,BK25,
50123620,NEW UNCLE FRIED CHICKEN,Queens,16304,HILLSIDE AVE,11432,9293529333,Chicken,05/21/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,32,,,10/09/2024,Cycle Inspection / Initial Inspection,40.708723151269,-73.79917662796,412,24,044602,4210045,4098130030,QN61,
41088798,MENDYS RESTAURANT,Brooklyn,792,EASTERN PARKWAY,11213,7189078877,Jewish/Kosher,04/25/2023,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,13,A,04/25/2023,10/09/2024,Cycle Inspection / Initial Inspection,40.669362197373,-73.941735678325,309,35,033700,3033058,3012720006,BK61,
50111328,LE PAIN QUOTIDIEN,Manhattan,400,5 AVENUE,10018,2125055861,French,08/08/2022,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,8,A,08/08/2022,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.750030859179,-73.983408608902,105,04,008400,1015937,1008387501,MN17,
50059380,MR. PIZZA,Bronx,1448,EAST AVENUE,10462,7189313822,Pizza,08/12/2021,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,08/12/2021,10/09/2024,Cycle Inspection / Initial Inspection,40.836236632024,-73.860352678791,209,18,021200,2096682,2039387501,BX46,
50108252,JOHNNY DELI & GROCERY,Queens,13207,JAMAICA AVE,11418,7187390330,Spanish,04/01/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,30,,,10/09/2024,Cycle Inspection / Initial Inspection,40.702165074727,-73.820190391864,409,29,014202,4194033,4092840050,QN54,
50093309,EMPIRE SZECHUAN GARDEN,Staten Island,1495,FOREST AVENUE,10302,7189810111,Chinese,08/19/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,27,B,08/19/2024,10/09/2024,Cycle Inspection / Re-inspection,40.624224480829,-74.1380708793,501,49,024700,5110054,5010530138,SI28,
50086938,JAGERHAUS GASTROPUB,Queens,1516,149TH ST,11357,7187673486,German,03/13/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,45,,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.786670233501,-73.816249001249,407,19,103900,4105229,4046460011,QN49,
41593751,RINCONCITO PAISA-COLOMBIAN BAKERY & RESTAURANT,Staten Island,1976,FOREST AVENUE,10303,7184420880,Latin American,03/18/2024,Violations were cited in the following area(s).,20-06,Current letter grade or Grade Pending card not posted,Not Critical,,,,10/09/2024,Administrative Miscellaneous / Re-inspection,40.625797431576,-74.155081260501,501,49,030302,5113443,5016960026,SI12,
50133839,SAPORE DI ITALIA,Brooklyn,160,IRVING AVENUE,11237,9296248813,Pizza,03/07/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,19,N,,10/09/2024,Pre-permit (Non-operational) / Initial Inspection,40.702341462962,-73.920254762811,304,37,042900,3073883,3032470035,BK77,
50075330,MIGHTY BOWL,Manhattan,1109,LEXINGTON AVENUE,10075,6466929065,Asian/Asian Fusion,08/24/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,68,,,10/09/2024,Cycle Inspection / Initial Inspection,40.773912592614,-73.95964208374,108,04,014000,1043222,1014120120,MN40,
50007331,PALACE RESTAURANT,Manhattan,122,EAST   57 STREET,10022,2123198989,American,01/29/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,36,,,10/09/2024,Cycle Inspection / Initial Inspection,40.761163557618,-73.969735574404,105,04,011203,1036902,1013110161,MN19,
50071782,MAD FOR CHICKEN,Queens,15720,NORTHERN BLVD,11354,7183213818,Korean,09/07/2021,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,17,,,10/09/2024,Cycle Inspection / Initial Inspection,40.763694016963,-73.80797369723,407,20,117100,4119353,4052760024,QN51,
50015891,MIRELI RESTAURANT,Bronx,1122,WESTCHESTER AVENUE,10459,9174737593,Latin American,09/01/2023,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,30,,,10/09/2024,Cycle Inspection / Initial Inspection,40.825446673118,-73.890362087326,202,17,012102,2006144,2027500012,BX27,
50106671,TONY'S FAMOUS PIZZA,Brooklyn,3145,FULTON STREET,11208,7186390222,Fusion,10/27/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,10/27/2021,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.681774197934,-73.878784076174,305,37,117400,3092005,3041240052,BK83,
40402007,GRAND AVENUE PIZZA,Queens,3424,30 AVENUE,11103,7187288879,Pizza,02/02/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,12,A,02/02/2024,10/09/2024,Cycle Inspection / Re-inspection,40.765634692816,-73.918738285351,401,22,006300,4009091,4006260049,QN70,
40373937,SHUN LEE,Manhattan,37,WEST   65 STREET,10023,2125958895,Chinese,10/26/2022,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,40,,,10/09/2024,Cycle Inspection / Initial Inspection,40.772273899388,-73.980363099092,107,06,014900,1028160,1011180005,MN14,
50064037,STARBUCKS COFFEE #48170,Brooklyn,470,4 AVENUE,11215,9292149558,Coffee/Tea,04/18/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,10,A,04/18/2024,10/09/2024,Cycle Inspection / Initial Inspection,40.669478079688,-73.989452348555,306,39,012100,3424516,3010150043,BK37,
50102557,MARCONIS PIZZA,Bronx,179,E GUN HILL RD  #181,10467,7187984970,Pizza,11/20/2023,Violations were cited in the following area(s).,20-04,"“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,,,,10/09/2024,Administrative Miscellaneous / Re-inspection,40.880869664297,-73.878043591196,207,11,043100,2018254,2033440001,BX43,
50074135,PICCANTE,Brooklyn,7214,3 AVENUE,11209,7188833919,Italian,04/25/2024,Violations were cited in the following area(s).,03B,"Shellfish not from approved source, not or improperly tagged/labeled; tags not retained for 90 days.",Critical,13,A,04/25/2024,10/09/2024,Cycle Inspection / Initial Inspection,40.633340347819,-74.027028526295,310,43,006600,3147305,3059070044,BK31,
41681923,MIST HARLEM,Manhattan,46,WEST  116 STREET,10026,6467383043,American,01/17/2019,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,7,A,01/17/2019,10/09/2024,Cycle Inspection / Re-inspection,40.801465396451,-73.948395674795,110,09,019000,1087782,1015997502,MN11,
50141732,KIMPTON HOTEL THETA/BAR SPREZZATURA,Manhattan,790,8 AVENUE,10019,6467105777,Italian,08/07/2024,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,35,,,10/09/2024,Pre-permit (Non-operational) / Initial Inspection,40.76112014419,-73.986939811739,105,03,012500,1024771,1010207501,MN17,
40998983,"CASA MONO, BAR JAMON (NEXT DOOR)",Manhattan,52,IRVING PLACE,10003,2122532773,Tapas,04/24/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,04/24/2024,10/09/2024,Cycle Inspection / Re-inspection,40.735956215416,-73.98731642956,106,02,005000,1017846,1008730022,MN21,
40370168,EAR INN,Manhattan,326,SPRING STREET,10013,2122269060,American,07/23/2021,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,07/23/2021,10/09/2024,Cycle Inspection / Initial Inspection,40.725993041785,-74.009301091655,102,03,003700,1010344,1005950071,MN24,
50135223,SAKURA 6,Brooklyn,837,MANHATTAN AVENUE,11222,7183497888,Japanese,05/03/2023,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,20,,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.728709591496,-73.953611701125,301,33,056100,3065102,3025730013,BK76,
40570910,DIAMANTE POBLANO RESTAURANT,Bronx,2431,JEROME AVENUE,10468,7183295240,Mexican,08/19/2021,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,29,,,10/09/2024,Cycle Inspection / Initial Inspection,40.862079885291,-73.90161368759,207,14,025300,2014332,2031990098,BX30,
50001823,HANCO'S,Brooklyn,134,SMITH STREET,11201,7188586818,Southeast Asian,09/27/2023,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,20,,,10/09/2024,Cycle Inspection / Initial Inspection,40.687118819739,-73.990210362641,302,33,004300,3001223,3001930023,BK38,
50117149,WING-STOP,Manhattan,935,8 AVENUE,10019,3322427308,Chicken,07/22/2022,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,0,,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.765621129956,-73.983682682178,104,06,013900,1025436,1010460031,MN15,
41051587,DUNKIN,Manhattan,1391,MADISON AVENUE,10029,2124230190,Donuts,02/17/2023,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,12,A,02/17/2023,10/09/2024,Cycle Inspection / Initial Inspection,40.78771924019,-73.953787102133,111,04,016002,1051453,1016020050,MN33,
50072358,THE LOCAL PRESS,Queens,9215,ROCKAWAY BLVD,11417,7183038800,American,06/14/2022,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,0,,,10/09/2024,Cycle Inspection / Initial Inspection,40.681310987467,-73.84718676784,410,32,004002,4438517,4091120010,QN56,
50133505,LANGKAWI,Brooklyn,5323,8 AVENUE,11220,7186330808,Asian/Asian Fusion,04/26/2023,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,23,,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.639252914717,-74.00562814085,312,38,010600,3138785,3056650001,BK34,
50079599,NICE ONE BAKERY,Manhattan,47,BAYARD STREET,10013,2127919365,Bakery Products/Desserts,10/03/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches in facility's food or non-food area.,Critical,50,,,10/09/2024,Cycle Inspection / Compliance Inspection,40.715176257587,-73.9972548574,103,01,002900,1001799,1001630031,MN27,
50105790,CHOMP CHOMP,Manhattan,78,EAST    1 STREET,10009,6467999642,Thai,08/27/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,26,Z,08/27/2024,10/09/2024,Cycle Inspection / Re-inspection,40.72316021195,-73.988191941806,103,02,003002,1005757,1004290064,MN22,
50080241,PISTACHE NYC,Brooklyn,630,FLUSHING AVENUE,11206,6462079390,French,10/20/2022,Violations were cited in the following area(s).,10H,"Single service article not provided.  Single service article reused or not protected from contamination when transported, stored, dispensed.  Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,3,A,10/20/2022,10/09/2024,Cycle Inspection / Initial Inspection,40.699955930336,-73.948449306538,303,36,025700,3329628,3017200001,BK75,
40380164,CUCHIFRITOS,Bronx,158,E. 188 TH ST,,7183674500,Spanish,01/24/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16,B,01/24/2022,10/09/2024,Cycle Inspection / Re-inspection,0,0,,,,,2,,
50125107,LEE'S DELI,Bronx,214,EAST  188 STREET,10458,6463064504,Sandwiches/Salads/Mixed Buffet,08/15/2023,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,08/15/2023,10/09/2024,Pre-permit (Operational) / Re-inspection,40.861178453964,-73.897153825718,205,15,023702,2013593,2031520078,BX05,
50044343,AYADA THAI RESTAURANT,Queens,7708,WOODSIDE AVE,11373,7184240844,Thai,08/13/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,55,C,08/13/2024,10/09/2024,Cycle Inspection / Re-inspection,40.743559945065,-73.887801567374,404,25,048100,4037853,4015230004,QN29,
50139560,TAQUERIA REVOLUCION,Queens,10616,CORONA AVE,11368,3478088805,Mexican,09/06/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25,N,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.743719669567,-73.856281700764,404,21,043900,4047611,4019350028,QN25,
41537020,NEW KIM TUONG RESTAURANT,Manhattan,83,CHRYSTIE STREET,10002,2129662878,Chinese,01/19/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26,,,10/09/2024,Cycle Inspection / Initial Inspection,40.717418620747,-73.994224544364,103,01,001600,1003942,1003040031,MN27,
50111171,TULCINGO RESTAURANT,Brooklyn,5520,5 AVENUE,11220,9722510104,Mexican,01/25/2022,Establishment re-opened by DOHMH.,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,P,01/25/2022,10/09/2024,Pre-permit (Operational) / Reopening Inspection,40.642139778143,-74.013411555767,307,38,007600,3014971,3008310045,BK32,
50043349,NEW NEIGHBOR CHINESE RESTAURANT,Brooklyn,1404,CORTELYOU ROAD,11226,7188260808,Chinese,10/16/2023,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,26,B,10/16/2023,10/09/2024,Cycle Inspection / Re-inspection,40.640880893452,-73.965138541769,314,40,052000,3118672,3051570002,BK42,
50120092,ZAITUN HALAL,Queens,8769,PARSONS BLVD,11432,3212345131,Middle Eastern,02/27/2023,Violations were cited in the following area(s).,20-04,"“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,,,,10/09/2024,Administrative Miscellaneous / Initial Inspection,40.707452823551,-73.802628640488,412,24,044602,4208976,4097650043,QN61,
50106561,TEMASKE,Manhattan,157,2 AVENUE,10003,2123811456,Japanese,01/10/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,15,,,10/09/2024,Pre-permit (Operational) / Reopening Inspection,40.729547152462,-73.986985712224,103,02,004000,1006796,1004650048,MN22,
50088984,NATURAL BLEND,Brooklyn,243,MALCOLM X BOULEVARD,11233,3473782440,Caribbean,09/07/2022,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,A,09/07/2022,10/09/2024,Cycle Inspection / Re-inspection,40.68442130939,-73.929348001928,303,36,038300,3046202,3016620004,BK35,
50000988,BAGELS ON BARTOW,Bronx,2033,BARTOW AVENUE,10475,7186715696,Bagels/Pretzels,09/28/2023,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,90,C,09/28/2023,10/09/2024,Cycle Inspection / Re-inspection,40.869283190296,-73.829763046998,210,12,046201,2097466,2051410100,BX13,
41470760,THE TOOL BOX,Manhattan,1742,2 AVENUE,10128,2123481288,Chicken,10/01/2024,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,20,,,10/09/2024,Cycle Inspection / Initial Inspection,40.78082813766,-73.949574425471,108,05,015400,1050202,1015530051,MN32,
50074960,MONK MCGINNS,Manhattan,57,MURRAY STREET,10007,9172658961,American,05/09/2022,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,05/09/2022,10/09/2024,Cycle Inspection / Initial Inspection,40.71421246245,-74.009746738044,101,01,002100,1082029,1001330013,MN24,
50129507,LUANA RESTAURANT,Queens,24513,FRANCIS LEWIS BLVD,11422,5166688303,Spanish,08/23/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,35,Z,08/23/2024,10/09/2024,Cycle Inspection / Re-inspection,40.66478303467,-73.734903142488,413,31,065400,4289377,4136140045,QN05,
50100851,EL DARI DELI & RESTAURANT,Staten Island,511,TOMPKINS AVENUE,10305,3478576200,Mexican,12/12/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,29,,,10/09/2024,Cycle Inspection / Initial Inspection,40.61318257238,-74.071757684495,501,49,000800,5042730,5028490007,SI37,
50035721,JUST SALAD,Brooklyn,252,7 AVENUE,11215,2122441111,Salads,06/13/2024,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,50,,,10/09/2024,Cycle Inspection / Initial Inspection,40.669399877712,-73.979499513475,306,39,015500,3021291,3009860046,BK37,
50141902,NEW SKY BAKERYLAND,Brooklyn,6625,BAY PARKWAY,11204,7186212722,Chinese,08/26/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,26,N,,10/09/2024,Cycle Inspection / Initial Inspection,40.612910011957,-73.982398317038,311,44,043200,3173250,3065770005,BK29,
41603460,BAREBURGER,Brooklyn,170,7 AVENUE,11215,7187682273,American,03/22/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,52,C,03/22/2024,10/09/2024,Cycle Inspection / Re-inspection,40.671803926156,-73.977494431408,306,39,015700,3020693,3009660048,BK37,
50123449,TIGER SUGAR,Queens,90-15,QUEENS BOULEVARD,11373,3478084778,Coffee/Tea,07/05/2023,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,34,,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.733840182011,-73.871577033806,404,25,068300,4045999,4018600100,QN29,
41616416,ISLAND CHOIZ RESTAURANT,Brooklyn,1792,UTICA AVENUE,11234,7189424309,Caribbean,08/29/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,68,,,10/09/2024,Cycle Inspection / Initial Inspection,40.628794723592,-73.927944462124,318,45,072800,3215585,3077750076,BK58,
50054262,GONG CHA,Queens,6135,JUNCTION BLVD,11374,7182717372,Coffee/Tea,10/17/2022,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,27,,,10/09/2024,Cycle Inspection / Initial Inspection,40.733428169799,-73.864170033452,406,29,071702,4615634,4020807501,QN18,
